"","s.Historic","s.Restored","s.Salt_Pond","index","stat","p.value"
"272",0,0,1,3,0.669695324638869,0.0015
"273",0,1,0,2,0.786713929329123,1e-04
"274",0,1,0,2,0.939844362105782,1e-04
"276",1,0,0,1,0.715517019281891,3e-04
"277",0,1,0,2,0.832550227742427,1e-04
"280",1,0,0,1,0.457812810088581,5e-04
"281",0,0,1,3,0.40583056421351,0.1
"282",0,1,0,2,0.588166698544026,1e-04
"283",0,1,0,2,0.716364541428892,1e-04
"284",1,0,0,1,0.349481734000665,0.0207
"285",1,0,0,1,0.597132180370181,1e-04
"286",0,1,1,6,0.551153267179554,0.0228
"287",0,1,0,2,0.845111211915296,1e-04
"288",1,0,0,1,0.461243677433908,1e-04
"289",0,0,1,3,0.459987802115335,0.0378
"290",1,0,0,1,0.593862187942474,1e-04
"291",0,0,1,3,0.811169460938455,1e-04
"292",1,1,0,4,0.428955139170086,0.0945
"293",0,0,1,3,0.342005367991185,0.1273
"294",0,1,1,6,0.493327062845376,0.0459
"295",0,1,1,6,0.327710062786211,0.2546
"296",1,0,0,1,0.950717322053386,1e-04
"297",0,1,0,2,0.608832275420045,0.0028
"298",0,0,1,3,0.531845038689184,0.007
"299",0,0,1,3,0.25259997567738,0.5111
"302",0,0,1,3,0.49926382916245,0.0325
"304",1,0,0,1,0.651240523679127,1e-04
"305",0,0,1,3,0.545851002628311,0.0053
"306",1,0,0,1,0.515517283665,0.0031
"307",1,0,0,1,0.717696582353764,1e-04
"308",1,0,0,1,0.801584426160235,1e-04
"309",0,0,1,3,0.768633086449397,2e-04
"310",1,1,0,4,0.733316818157272,0.0014
"311",0,1,0,2,0.877629959157123,1e-04
"312",0,1,0,2,0.793766240781662,1e-04
"313",0,0,1,3,0.732264187372801,0.001
"314",0,0,1,3,0.562567927070142,0.0176
"315",1,0,0,1,0.668812445974094,1e-04
"316",0,1,0,2,0.772170699896563,1e-04
"317",1,0,1,5,0.632017049731557,0.0052
"318",0,1,0,2,0.636427237223271,1e-04
"319",0,0,1,3,0.701383528627488,4e-04
"320",0,0,1,3,0.631768120962895,0.0013
"321",0,0,1,3,0.864934384118138,1e-04
"322",1,0,0,1,0.425600514830491,0.028
"323",0,0,1,3,0.780024827249484,4e-04
"324",0,1,0,2,0.658982800219431,1e-04
"325",1,0,0,1,0.763278893474458,1e-04
"326",0,0,1,3,0.719758601349335,7e-04
"327",0,0,1,3,0.837123448453125,2e-04
"328",0,0,1,3,0.288059614493915,0.5064
"329",1,0,0,1,0.432303822391057,0.0427
"330",0,0,1,3,0.690459278750203,0.001
"331",1,0,0,1,0.679412623932164,1e-04
"332",0,0,1,3,0.267823941668073,0.4928
"333",1,0,0,1,0.528835313097209,4e-04
"334",0,1,0,2,0.732272761072998,1e-04
"335",1,0,0,1,0.500515454389581,0.0022
"336",0,0,1,3,0.339195335841808,0.1735
"337",1,0,0,1,0.661157962983419,1e-04
"338",0,1,0,2,0.612011662604929,0.0027
"339",1,1,0,4,0.484646922052642,0.03
"340",1,0,0,1,0.718678080186817,1e-04
"341",1,0,1,5,0.589627651673201,0.0074
"342",1,0,0,1,0.392846925458073,0.0011
"344",0,0,1,3,0.473654816735295,0.0227
"345",0,1,0,2,0.414274300310404,0.0699
"346",1,0,0,1,0.587031940454281,1e-04
"347",1,0,0,1,0.384317865697855,0.0086
"348",1,1,0,4,0.40032058758654,0.1128
"349",0,0,1,3,0.354842879564011,0.181
"350",1,0,0,1,0.584061482878203,1e-04
"351",0,1,0,2,0.802940379179049,1e-04
"352",1,0,0,1,0.542587489645645,1e-04
"353",0,1,1,6,0.521634203999068,0.03
"355",1,1,0,4,0.500300768375771,0.0427
"356",1,0,0,1,0.737726181921808,1e-04
"357",0,1,1,6,0.379016880871517,0.148
"358",1,1,0,4,0.420840589375261,0.0859
"359",1,0,1,5,0.291737906572007,0.3906
"360",0,0,1,3,0.562941904588871,0.0165
"361",1,0,0,1,0.38723408295869,0.0011
"362",1,0,0,1,0.411388948452391,1e-04
"363",0,1,0,2,0.947785688814578,1e-04
"364",0,1,0,2,0.585067852661245,0.0031
"365",0,0,1,3,0.545218698062488,0.0114
"366",1,0,0,1,0.760610865776081,1e-04
"367",1,0,0,1,0.357668314776815,0.0014
"368",1,0,0,1,0.555359631334868,1e-04
"369",1,0,0,1,0.467392687170831,1e-04
"371",0,1,0,2,0.57299255553744,1e-04
"372",1,0,0,1,0.689901259153594,2e-04
"373",1,0,0,1,0.718527290788793,1e-04
"374",1,0,0,1,0.421348186044625,1e-04
"375",1,0,0,1,0.680934036515743,1e-04
"376",0,0,1,3,0.702467463063418,0.0014
"377",0,0,1,3,0.762598099233273,3e-04
"378",1,0,0,1,0.471254090751788,0.034
"379",0,1,0,2,0.806249625864057,1e-04
"380",1,0,0,1,0.52464431257637,1e-04
"381",0,0,1,3,0.645569763911087,0.0041
"382",0,0,1,3,0.247595229828369,0.5831
"383",0,1,0,2,0.624181525793012,0.0012
"384",1,0,0,1,0.512582820740537,1e-04
