#OTU_ID	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	Consensus lineage	Kingdom	Phylum	Class	Order	Family	Genus
2463	4	1	17	5	15	11	1	0	1	1	2	0	7	39	9	24	5	74	0	1	2	0	2	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Nereida	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Nereida
2464	0	0	0	0	0	0	11	17	6	7	11	162	0	0	0	0	0	0	0	1	5	2	4	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__GCA004;f__GCA004OR;g__GCA004OR	Bacteria	Chloroflexi	Anaerolineae	GCA004	GCA004OR	GCA004OR
2465	0	0	0	0	0	0	0	0	1	60	2	0	0	9	0	0	0	1	3	26	11	17	35	43	k__Bacteria;p__OP9;c__JS1;o__SB-45;f__SB-45OR;g__SB-45OR	Bacteria	OP9	JS1	SB-45	SB-45OR	SB-45OR
2466	0	0	0	0	0	0	1	1	3	6	44	116	0	0	0	0	0	0	4	1	11	4	32	3	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__DesulfobulbaceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	DesulfobulbaceaeFA
2467	0	0	0	0	0	0	85	5	27	11	3	0	0	0	0	0	0	0	16	19	23	16	17	4	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__DesulfobulbaceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	DesulfobulbaceaeFA
2468	0	0	0	0	0	0	75	29	94	6	11	0	0	0	0	0	0	0	1	4	2	1	2	1	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces	Bacteria	Planctomycetes	Planctomycea	Planctomycetales	Planctomycetaceae	Planctomyces
2470	0	0	0	0	0	0	13	99	67	10	35	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__S0208;f__S0208OR;g__S0208OR	Bacteria	Chloroflexi	Anaerolineae	S0208	S0208OR	S0208OR
2471	0	0	0	0	0	0	66	19	98	5	2	0	0	0	10	0	18	1	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	ChromatiaceaeFA
2472	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	68	8	13	10	124	1	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__DesulfobulbaceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	DesulfobulbaceaeFA
2473	15	20	22	13	3	16	0	0	0	0	0	0	6	6	9	1	32	9	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Thiomicrospira	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Thiomicrospira
