#OTU_ID	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2
11	1.759357558	29.54612307	3.948849716	24.42833591	4.268101508	18.09147107	0	2.76521031	4.285557166	3.296479057	5.976637407	7.434267447	10791.57361	15803.73266	3072.200226	15163.20891	4893.390584	2331.843978	48.2544979	27.23732867	74.05977002	3030.864342	42.73213592	412.7120171
12	1.759357558	8.617619229	11.18840753	20.93857364	12.80430452	0	2.993326411	17.97386702	25.71334299	19.77887434	2.988318704	8.921120937	4330.474654	3256.509248	3646.671183	3837.354084	2296.167642	1301.64237	3194.289549	1093.793778	1447.749053	929.3064995	9714.723781	3377.2695
13	36.36005619	16.00415	11.84654915	20.93857364	2.134050754	0	0	4.147815466	12.8566715	19.77887434	5.229557732	17.84224187	9836.510368	10393.52376	2671.154463	4940.844657	1969.279216	1143.639539	2059.122263	269.8645854	566.198887	1672.298655	755.5041631	1557.173301
14	22.28519573	40.62591922	31.59079773	34.89762273	23.4745583	18.09147107	83.81313951	17.97386702	21.42778583	29.66831151	20.17115125	11.89482792	9716.005745	4991.006645	1925.290638	4162.159075	5882.998101	2783.859403	1095.614419	269.5061995	1018.202387	894.1955897	1724.669006	726.3188459
15	0	1.231088461	0	0	2.134050754	9.045735536	0	0	0	0	1.494159352	1.486853489	43.58677864	28.84419175	36.581877	9.521970432	40.73685562	5.208884538	7.910573426	1.791929518	15.76756394	1.132609993	19.65678252	2.715210639
16	2053.756722	552.7587191	898.3633103	1416.843483	315.8395116	72.36588429	18510.73053	7262.82488	4183.560905	5112.839017	6362.13052	3067.378749	2.563928155	0	0	0	1.987163689	2.315059795	0	15.05220795	1.433414904	1.69891499	1.709285437	1.810140426
17	3973.215818	51.70571538	9.21398267	3.489762273	21.34050754	0	0	0	0.857111433	3.296479057	0	2.973706979	2753.658839	3467.071848	3546.409742	1647.300885	2176.937821	934.7053922	779.1914824	139.0537306	1263.316335	568.0039117	2661.357425	1427.295726
18	66.26913467	36.93265384	73.71186136	143.0802532	38.41291357	0	2696.987096	544.7464312	212.5636354	279.1018935	1781.037947	203.6989281	16.66553301	18.26798811	59.61491066	24.33392444	20.86521873	6.366414436	21.35854825	24.01185554	770.2216082	36.24351979	6027.795093	42.99083512
19	0	8.617619229	6.581416193	3.489762273	2.134050754	0	2.993326411	4.147815466	87.42536618	63.73192843	12.70035449	2.973706979	2375.479436	1982.557446	1138.780282	2541.308109	2543.569522	1358.9401	3734.581714	1069.06515	1241.337307	1741.387865	2488.719596	2035.955444
20	1.759357558	9.848707691	6.581416193	10.46928682	6.402152262	0	11.97330564	22.12168248	235.7056441	223.0617495	34.36566509	563.5174725	1746.035074	158.6430546	8066.303878	214.7733331	6160.207435	3268.285665	507.8588139	419.3115072	894.9287049	774.1389304	362.3685126	384.2023054
21	692.6004252	279.4570807	301.4288616	1441.271819	317.9735624	180.9147107	20686.87883	8382.735056	3455.873298	4346.95705	5824.980233	1653.38108	1.281964078	0.961473058	0.677442167	0	0	0.578764949	0.791057343	0.716771807	0.477804968	0	2.563928155	0
22	51.02136917	11.07979615	121.7561996	9129.218106	198.4667201	3093.641553	3834.451132	4143.66765	4737.254891	5387.545605	5511.206769	8812.580632	0	0.961473058	0.677442167	1.057996715	0	0.578764949	0	1.075157711	0.477804968	0	0.854642718	0
23	462.1245851	35.70156538	22.37681506	136.1007286	36.27886282	36.18294214	6636.204653	3567.1213	2811.325501	3639.312879	10710.13423	5883.479258	5.127856311	7.691784466	0.677442167	9.521970432	0	8.681474231	3.16422937	15.76897976	2.389024839	4.530439973	0	9.503237236
