#OTU_ID	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
3611	0	0	0	0	0	0	111	18	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3612	0	0	0	0	1	0	2	25	18	11	63	7	0	0	0	0	0	1	0	0	1	0	1	0
3613	0	0	0	0	0	0	91	4	30	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0
3614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	10	16	17	46	5
3615	0	0	0	0	0	0	1	90	0	0	3	0	0	0	0	0	0	0	3	10	3	8	9	3
3616	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4	4	98	22
3617	5	3	2	0	2	2	0	0	0	0	0	0	9	10	21	8	25	15	0	0	0	0	0	0
3619	0	0	0	0	0	0	2	119	2	1	1	0	0	0	0	0	0	0	0	0	0	1	4	0
3620	0	0	0	0	0	0	0	0	0	0	0	0	2	104	4	3	0	3	0	0	5	7	0	1
3622	4	2	7	5	3	9	0	0	0	0	0	0	15	15	13	2	22	19	0	0	0	0	1	1
3623	0	0	3	0	4	5	0	2	0	1	3	1	3	3	5	2	0	1	1	4	9	12	6	65
3625	0	0	0	0	0	0	10	21	30	6	10	0	0	0	0	0	0	0	18	9	5	7	12	2
3626	19	11	4	4	17	4	0	0	0	0	0	0	27	21	5	5	2	6	0	0	0	0	1	0
3627	7	17	5	2	13	6	23	5	2	0	0	0	5	0	3	6	11	1	0	0	0	0	0	1
3628	30	84	1	6	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0
3631	1	5	18	12	18	22	0	0	0	0	1	0	0	1	24	1	3	2	0	3	1	1	1	0
3632	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2	54	10	9	34	12
3633	0	0	0	0	0	0	5	14	42	9	55	4	0	0	0	0	0	0	0	0	0	0	0	0
3634	0	0	0	0	0	0	63	38	2	1	23	1	0	0	0	0	0	0	0	0	0	0	1	0
3635	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	42	27	3	5	46	2
3636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	23	15	16	42	16
3638	0	0	0	0	0	0	7	85	20	11	3	1	0	0	0	0	0	0	1	0	0	0	0	1
3639	0	0	0	0	0	1	6	16	9	8	8	1	1	15	0	3	0	4	6	11	5	7	27	1
3640	0	0	0	0	0	0	2	101	12	6	7	1	0	0	0	0	0	0	0	0	0	0	0	0
3641	0	0	0	0	0	0	1	0	0	9	0	2	0	0	0	0	0	0	52	19	7	5	28	6
3642	0	0	0	0	0	0	4	17	10	5	6	0	0	0	0	0	0	0	26	26	7	4	23	1
3644	0	0	0	0	0	0	0	0	1	117	2	5	0	0	0	0	0	0	0	1	0	1	2	0
3645	1	1	3	0	1	2	0	0	0	0	0	0	19	59	20	8	7	5	0	0	1	0	1	0
3646	0	0	0	0	0	0	9	6	19	1	36	1	0	0	0	0	0	0	20	5	2	1	29	0
3647	2	1	4	3	2	1	13	5	14	4	2	0	12	12	0	9	1	2	6	4	1	3	21	0
