#Family	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
MVP-15PH	0	1	12	3	6	0	0	0	3	0	0	0	4	11	281	11	320	10	0	0	0	0	0	0
MVS-40CL	0	1	0	0	0	0	2	1	32	861	5	41	0	0	0	0	0	0	103	134	90	106	270	69
Marinilabiaceae	611	393	2083	659	774	291	89	250	187	1014	345	542	996	453	2054	339	5796	3080	63	51	362	323	430	109
Mariprofundaceae	0	0	0	0	0	0	15	81	8	116	960	9328	0	2	0	0	0	0	47	31	192	204	278	10
MethanobacterialesOR	316	402	319	276	555	229	0	1	4	12	19	227	727	807	1417	455	1807	635	81	26	54	60	79	12
Methanomicrobiaceae	30	84	1	6	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0
Methanosarcinaceae	226	239	98	72	177	111	0	0	0	0	0	0	62	39	127	30	125	16	7	77	10	11	21	7
Methylococcaceae	0	0	0	0	0	0	0	7	4	697	13	114	0	0	2	1	0	1	0	23	4	5	89	65
MethylococcalesOR	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	14	32	23	23	46	14
Methylophilaceae	0	0	0	0	0	0	6	0	3	4	2	0	0	0	0	0	0	0	71	57	106	91	59	17
Microbacteriaceae	16	14	8	14	13	13	0	0	0	0	1	0	208	88	37	65	35	162	1	0	1	0	0	0
Micromonosporaceae	0	0	0	0	0	0	155	216	104	7	21	1	0	0	0	0	0	1	0	4	0	1	1	1
Microthrixaceae	1	0	1	1	0	10	96	35	77	11	35	1	12	56	8	24	2	22	2	10	3	6	10	0
Moraxellaceae	0	0	0	0	0	0	141	2	39	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0
Mycobacteriaceae	0	1	0	0	0	0	5	82	57	142	250	115	1	1	1	1	0	0	10	14	12	9	36	14
MyxococcalesOR	11	23	51	51	27	34	865	1157	958	709	794	948	74	100	93	88	105	133	3458	2333	2770	2804	4977	1589
NB1-i	0	0	0	0	0	0	129	1709	688	100	995	147	0	1	0	0	1	0	316	184	153	150	549	65
NB1-jOR	0	0	0	0	1	0	25	565	298	50	727	357	0	0	0	0	0	0	89	121	159	138	204	58
NKB15OR	0	0	0	0	0	0	5	25	173	4	9	0	0	0	0	0	0	0	11	3	25	20	67	5
NKB19PH	0	0	0	0	0	0	40	370	339	790	180	389	0	0	0	0	1	0	1	0	3	0	3	9
Nannocystaceae	0	2	2	2	8	7	152	344	231	26	153	24	2	7	11	0	7	3	7	3	9	10	9	1
NatranaerobialesOR	74	36	22	39	56	57	0	0	0	0	0	0	16	3	0	25	6	10	0	0	0	0	0	0
NautilialesOR	12	25	40	66	52	17	54	23	48	103	43	172	14	9	45	22	62	25	19	658	198	164	191	25758
Nitrosomonadaceae	0	0	0	0	0	0	412	570	907	323	417	21	0	2	0	0	0	0	200	111	34	32	228	4
Nitrososphaeraceae	0	0	0	1	0	0	162	469	713	41	42	1	0	0	0	0	0	0	0	2	1	0	0	1
