"","R2A_A_D1","R2A_A_D2","R2A_B_D1","R2A_B_D2","R2A_C_D1","R2A_C_D2","SF2_A_D1","SF2_A_D2","SF2_B_D1","SF2_B_D2","SF2_C_D1","SF2_C_D2","R1_A_D1","R1_A_D2","R1_B_D1","R1_B_D2","R1_C_D1","R1_C_D2","R2_A_D1","R2_A_D2","R2_B_D1","R2_B_D2","R2_C_D1","R2_C_D2"
"223",61.47,0,85.4,46.26,5.66,38.01,3713.21,1761.48,4073.48,4154.99,5270.6,538.8,4.65,0,0,0,0,0,0,58.86,0,0,0,0
"224",27.94,28.38,90.73,17978.58,452.78,3170.86,95.05,1071.71,215.2,212.5,189.5,333.54,0,0,0,0,0,0,0,10.7,0,0,0,0
"225",2542.47,2951.63,5433.39,173.48,2314.84,146.6,50.69,17.1,102.48,67.11,48.18,87.23,297.35,582.9,921.07,1734.21,363.75,504.21,210.82,342.44,520.82,358.85,713.87,523.24
"226",0,5.68,16.01,0,0,0,0,0,5.12,5.59,16.06,461.83,4.65,0,4.87,0,0,0,11.1,0,0,6.77,0,0
"227",22.35,2236.43,1547.82,2902.94,9519.71,6472.04,0,5.7,5.12,5.59,6.42,5.13,0,0,0,0,0,0,0,0,0,0,0,0
"228",4621.14,7895.6,6394.11,485.75,2546.89,108.59,101.38,79.81,40.99,27.96,89.93,10.26,0,0,0,10.94,0,0,0,5.35,0,0,0,0
"229",0,0,192.14,11750.56,526.36,2861.38,145.74,1094.51,783.95,794.09,957.12,2786.36,0,0,0,0,0,0,0,0,0,0,0,0
"230",910.82,3337.61,2316.4,780.67,12315.63,1780.9,291.48,114.01,30.74,11.18,346.88,30.79,0,0,0,0,0,0,0,5.35,0,0,0,0
"232",0,5.68,42.7,11.57,28.3,0,0,0,0,5.59,6.42,10.26,102.21,76.45,1062.4,388.42,1926.9,761.47,954.24,1530.29,3602.8,1184.87,4522.7,666.88
"233",11.18,11.35,21.35,0,0,0,6.34,5.7,10.25,16.78,32.12,76.97,144.03,76.45,1963.98,71.12,2148.1,4944.38,909.85,2894.7,1546.36,4705.61,419.11,1405.58
"234",2849.8,4603.4,3437.23,699.71,1924.32,70.58,627.32,1909.69,753.21,665.47,1127.35,595.24,27.88,14.33,82.85,27.35,93.4,226.38,72.12,834.7,182.56,345.3,69.08,66.69
"235",0,5.68,0,0,0,0,0,0,25.62,0,0,5.13,2829.43,1839.48,2090.68,2718.94,3185.28,468.2,1386.97,1508.88,859.09,683.84,626.36,528.37
"237",0,0,5.34,0,5.66,0,0,0,5.12,0,0,20.53,385.62,683.24,2027.33,2883.06,634.11,519.65,4199.75,1043.38,2158.46,1530.17,1354.05,3349.78
"238",4364.1,6351.68,6495.52,647.67,2722.34,314.91,278.81,159.62,112.73,44.74,195.92,87.23,0,0,4.87,0,0,0,0,5.35,0,0,0,5.13
"239",0,11.35,0,5.78,16.98,0,0,5.7,25.62,55.92,19.27,46.18,2295.13,1825.15,1642.33,1898.33,1386.19,1466.34,1137.32,2145.61,735.59,2870.76,474.38,1338.89
"240",2637.46,5738.64,9799.32,1810,1052.71,21.72,50.69,68.41,15.37,11.18,305.12,10.26,0,0,0,5.47,0,0,0,0,0,0,0,0
"241",0,0,122.76,10923.62,786.71,5766.19,12.67,416.14,486.77,492.11,481.77,2047.43,4.65,0,0,0,14.75,5.15,5.55,0,0,0,0,0
"242",0,11.35,10.67,5.78,11.32,0,0,0,10.25,16.78,22.48,5.13,594.69,258.01,2553.66,339.18,2197.25,4399.01,981.97,583.22,3345.07,2450.98,824.4,1579.99
