node_name	node_disp_name	ntype	degree	weighted_degree	consensus_lin	BarcodeSequence	LinkerPrimerSequence	Treatment	DOB
1230		otu_node	14	1624.60053578		otu	otu	otu	otu
1232		otu_node	5	2458.57207144		otu	otu	otu	otu
1233		otu_node	10	795.4704027		otu	otu	otu	otu
1234		otu_node	18	772.64251674		otu	otu	otu	otu
1235		otu_node	16	791.459829595		otu	otu	otu	otu
1236		otu_node	20	1902.43444799		otu	otu	otu	otu
1237		otu_node	7	887.252734738		otu	otu	otu	otu
1238		otu_node	11	835.764082139		otu	otu	otu	otu
1239		otu_node	13	401.633445369		otu	otu	otu	otu
124		otu_node	17	8965.46356188		otu	otu	otu	otu
1240		otu_node	13	387.684586736		otu	otu	otu	otu
1241		otu_node	16	231.196785112		otu	otu	otu	otu
1242		otu_node	14	208.258435161		otu	otu	otu	otu
1243		otu_node	7	552.313034664		otu	otu	otu	otu
1244		otu_node	10	2290.10661283		otu	otu	otu	otu
1245		otu_node	15	722.111032518		otu	otu	otu	otu
1246		otu_node	10	908.512259544		otu	otu	otu	otu
1247		otu_node	8	528.225225917		otu	otu	otu	otu
1248		otu_node	7	1854.9717049		otu	otu	otu	otu
1249		otu_node	11	1134.56032604		otu	otu	otu	otu
125		otu_node	19	4340.46559124		otu	otu	otu	otu
1250		otu_node	13	1574.63985638		otu	otu	otu	otu
1251		otu_node	8	600.217825387		otu	otu	otu	otu
1252		otu_node	9	212.245265181		otu	otu	otu	otu
1253		otu_node	11	356.734291068		otu	otu	otu	otu
1254		otu_node	7	521.490072929		otu	otu	otu	otu
1255		otu_node	15	319.595077561		otu	otu	otu	otu
1256		otu_node	15	347.078137392		otu	otu	otu	otu
1257		otu_node	23	591.067875347		otu	otu	otu	otu
1258		otu_node	8	646.581336887		otu	otu	otu	otu
1259		otu_node	20	426.209355284		otu	otu	otu	otu
126		otu_node	17	4288.53196038		otu	otu	otu	otu
1260		otu_node	8	1902.60246482		otu	otu	otu	otu
1261		otu_node	6	502.191209216		otu	otu	otu	otu
