	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
R2A_C_D1	0.601797803002	0.607882663967	0.619578710535	0.580605569521	0.648159541203	0.62074320045	0.336131810506	0.190627631852	0.220448811625	0.309399284611	0.0	0.29734376512	0.608977117953	0.591220048668	0.5996706159	0.555954226564	0.60255611089	0.575615832567	0.369099612793	0.353636071961	0.424825699675	0.412559603314	0.362892057695	0.499910808126
R2A_C_D2	0.591716975495	0.599757090707	0.621224947541	0.576190203097	0.639420775624	0.631160611075	0.425693383226	0.37307332105	0.383619120252	0.268918394313	0.29734376512	0.0	0.610959040258	0.587230316162	0.590353997364	0.577460848775	0.575796162577	0.58200550176	0.348940020269	0.3230985827	0.384193069567	0.374897386906	0.332477712628	0.44060485916
R2_A_D1	0.437611411111	0.476226296606	0.451449586867	0.416516659067	0.49102215785	0.471932075231	0.607551902036	0.607477652029	0.618692273859	0.596151328223	0.608977117953	0.610959040258	0.0	0.396356587677	0.42369689421	0.331746139664	0.408435673251	0.295488056772	0.595612217372	0.576637500238	0.583459899616	0.578064541157	0.581121700463	0.592291062102
R2_A_D2	0.476724430984	0.541756540397	0.355622257183	0.494652352286	0.392255381118	0.335219642355	0.615363243078	0.61491942112	0.616324628038	0.568779482154	0.591220048668	0.587230316162	0.396356587677	0.0	0.311789489226	0.26942545229	0.438077897511	0.328762287866	0.555747233941	0.539208711683	0.430100092799	0.447908226899	0.540580527602	0.468228659353
R2_B_D1	0.269307675893	0.328294617841	0.178554522021	0.302640597842	0.186776293222	0.22715450992	0.533826185359	0.592687199721	0.599240996765	0.576097593083	0.5996706159	0.590353997364	0.42369689421	0.311789489226	0.0	0.267077393977	0.208933206969	0.264941928528	0.55991460779	0.544561831239	0.447538223476	0.464877344011	0.549659456668	0.4324880827
R2_B_D2	0.36717361754	0.427857001087	0.280987370554	0.365038289521	0.324968614789	0.265418060995	0.566342704284	0.566691735666	0.564197425058	0.569797785963	0.555954226564	0.577460848775	0.331746139664	0.26942545229	0.267077393977	0.0	0.390138462716	0.207927544808	0.561253173712	0.535388012684	0.445135746245	0.461605254518	0.547223861487	0.474915184715
R2_C_D1	0.270224787418	0.307798461026	0.283664459507	0.278908529226	0.28848711878	0.365809587611	0.535433888447	0.593695225842	0.600739715717	0.562182242539	0.60255611089	0.575796162577	0.408435673251	0.438077897511	0.208933206969	0.390138462716	0.0	0.294773479007	0.539071740122	0.527990099425	0.51841302148	0.512929799792	0.531774972231	0.494392962447
R2_C_D2	0.315592999975	0.360675751245	0.276741438722	0.316965224452	0.346777338947	0.32927472773	0.533986510322	0.574552180017	0.586447033674	0.562984231978	0.575615832567	0.58200550176	0.295488056772	0.328762287866	0.264941928528	0.207927544808	0.294773479007	0.0	0.570097350248	0.544580368681	0.497621825379	0.492777036567	0.554602054442	0.490485484638
SF2_A_D1	0.574342692638	0.578212492321	0.608527269959	0.564487690154	0.620838313437	0.611987508802	0.411287027743	0.397148463759	0.387010620062	0.330953686856	0.369099612793	0.348940020269	0.595612217372	0.555747233941	0.55991460779	0.561253173712	0.539071740122	0.570097350248	0.0	0.123652035387	0.236624030254	0.219575344583	0.124699396237	0.380367322097
SF2_A_D2	0.54204440724	0.549231636506	0.57909860505	0.535498135339	0.594343807757	0.580143442615	0.380240512717	0.372873545995	0.360943039013	0.299792232089	0.353636071961	0.3230985827	0.576637500238	0.539208711683	0.544561831239	0.535388012684	0.527990099425	0.544580368681	0.123652035387	0.0	0.221639456753	0.207355220743	0.147319529646	0.334268921574
SF2_B_D1	0.547375642849	0.603640576023	0.485387391339	0.575540641848	0.507969585076	0.495893700244	0.495074214962	0.482537741471	0.467568835288	0.362340248051	0.424825699675	0.384193069567	0.583459899616	0.430100092799	0.447538223476	0.445135746245	0.51841302148	0.497621825379	0.236624030254	0.221639456753	0.0	0.0337729254816	0.200682578446	0.228268108249
SF2_B_D2	0.542301732357	0.597370466397	0.50208250975	0.569448067924	0.525004930822	0.51346669214	0.4831873301	0.470917146524	0.454597122676	0.35284881392	0.412559603314	0.374897386906	0.578064541157	0.447908226899	0.464877344011	0.461605254518	0.512929799792	0.492777036567	0.219575344583	0.207355220743	0.0337729254816	0.0	0.18047781058	0.231547608356
SF2_C_D1	0.573479511262	0.574318832378	0.595580140333	0.557765087429	0.620307451187	0.609501718991	0.41300198732	0.405502599904	0.388052545755	0.303083477301	0.362892057695	0.332477712628	0.581121700463	0.540580527602	0.549659456668	0.547223861487	0.531774972231	0.554602054442	0.124699396237	0.147319529646	0.200682578446	0.18047781058	0.0	0.342431947723
SF2_C_D2	0.513332933618	0.567188558152	0.480970190965	0.536638701796	0.481553118426	0.498909383925	0.540765363667	0.544232441139	0.546082994046	0.391876050656	0.499910808126	0.44060485916	0.592291062102	0.468228659353	0.4324880827	0.474915184715	0.494392962447	0.490485484638	0.380367322097	0.334268921574	0.228268108249	0.231547608356	0.342431947723	0.0
