	sequences per sample	iteration	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
alpha_rarefaction_40118_9.txt	40118	9	1687.77108434	1742.47368421	2352.17431193	2046.82978723	2059.76683938	2448.13191489	4355.45801527	4989.81	5767.07601351	5531.74632353	5093.46590909	3185.18088737	2461.26521739	3938.02238806	3093.15015974	2999.55555556	2400.94117647	2689.22180451	5982.81818182	6211.33955857	6584.28	6855.98	8242.89165629	6060.75856164
alpha_rarefaction_60172_0.txt	60172	0	1966.25510204	1920.78333333	2601.14693878	2362.92201835	2401.16582915	2901.18987342	4402.79317697	5830.62461538	6280.23858616	6049.57236842	5623.2218543	3562.68115942	2716.01111111	4513.12472648	3544.93220339	3318.25301205	2685.92277992	3100.00955414	6812.04030227	6825.57080292	7929.2027027	7319.76112412	9034.12690355	6778.68005739
alpha_rarefaction_60172_1.txt	60172	1	1940.79569892	1869.53225806	2629.4214876	2424.23504274	2264.85585586	2708.77952756	4473.34728033	5690.5	6164.2382311	6161.13014827	5641.55178268	3602.83987915	2702.0	4406.20696721	3590.95072464	3308.66371681	2650.84172662	3147.90228013	6912.69348659	6819.62040816	7635.1130742	7574.50123457	8847.59315206	6746.28783784
alpha_rarefaction_60172_2.txt	60172	2	2024.86956522	1992.9787234	2485.45945946	2299.20444444	2460.6974359	2638.78968254	4455.4375	5684.07822086	6269.52466368	5990.47321429	5641.8048	3586.72285714	2688.82867133	4435.97435897	3499.31176471	3301.63829787	2713.85185185	3121.59283388	6789.01351351	7253.29013255	7720.61481481	7736.0939759	8808.63959391	6850.10958904
alpha_rarefaction_60172_3.txt	60172	3	1863.80526316	1942.38461538	2530.84765625	2436.2972973	2260.13333333	2715.40449438	4605.76304348	5804.61586314	6458.84971098	6028.9025974	5618.98379254	3739.24624625	2738.04452055	4550.5021645	3487.84375	3228.62247839	2685.14760148	3021.31612903	6688.15802781	7225.40967283	7804.257109	7479.39354067	8738.36474164	6648.44384303
alpha_rarefaction_60172_4.txt	60172	4	2010.94610778	1889.1978022	2431.50396825	2398.57081545	2475.18	2749.07874016	4502.48060345	5730.68269231	6481.65204236	6074.88926174	5471.72463768	3739.01	2763.57342657	4481.01086957	3534.12609971	3288.6635514	2660.0244898	3234.88541667	6622.24516129	7139.97305389	7717.74380165	7742.57267081	8835.66237942	6402.33423545
alpha_rarefaction_60172_5.txt	60172	5	1891.37704918	1858.88888889	2605.19148936	2298.52697095	2368.11374408	2747.39430894	4462.97975709	5667.29906542	6551.45051699	6266.08139535	5933.68048359	3521.85093168	2769.42105263	4450.34047109	3412.65217391	3391.32012195	2788.67965368	2987.44923077	6805.16535433	7114.69375907	8131.16318538	7810.76628352	8914.09650053	6839.39823009
alpha_rarefaction_60172_6.txt	60172	6	2030.9005848	1885.015	2642.09638554	2549.42325581	2329.62666667	2749.66666667	4426.29613734	5616.24542683	6458.60237389	6323.06101695	5713.39152542	3595.60486322	2830.02272727	4396.19088937	3543.62608696	3199.36036036	2774.25423729	3140.50314465	6928.81818182	6909.23469388	7781.48461538	7961.13240858	8863.81790123	6544.43178622
alpha_rarefaction_60172_7.txt	60172	7	1965.03409091	2017.22513089	2536.4893617	2372.73423423	2449.50753769	2569.98062016	4563.01333333	5759.92586751	6277.08191654	6039.82082695	5741.89833641	3691.30434783	2822.25	4528.69495413	3292.16296296	3235.76608187	2681.69565217	3156.25167785	6670.56015038	7089.5650289	7447.55735805	7629.57258065	8723.09054726	6449.79674797
alpha_rarefaction_60172_8.txt	60172	8	1931.42857143	1968.796875	2519.1512605	2348.29535865	2426.49246231	2651.82995951	4346.70425532	5713.97959184	6282.15416667	5840.77029096	5730.8559322	3692.26415094	2812.28346457	4369.42886598	3495.75644699	3343.3761194	2687.44081633	3114.77089783	6759.17692308	6840.0	7697.58029197	7912.00763359	8729.15368852	6867.66099291
alpha_rarefaction_60172_9.txt	60172	9	1920.21761658	1957.88442211	2713.42608696	2400.23255814	2344.33333333	2717.31395349	4726.04615385	5632.78571429	6471.96035242	6169.22258592	5778.32524272	3739.51923077	2908.75396825	4381.09090909	3516.73480663	3507.86942675	2560.953125	3057.62804878	6568.94887039	6826.82022472	7752.94470588	7568.67030303	8946.66772487	6675.48178138
alpha_rarefaction_80226_0.txt	80226	0	2073.25581395	2152.48087432	2874.40769231	2676.43965517	2542.5862069	3010.97426471	4776.50592885	5920.18994413	6926.36754508	6623.046875	6098.22327044	3886.55927835	3057.6445993	4661.36074766	3804.965	3441.2242268	2853.64259928	3314.41975309	7023.12485137	7642.96484375	8567.61882893	8366.4800885	9028.83020478	7261.59309494
alpha_rarefaction_80226_1.txt	80226	1	2057.7370892	2243.905	2829.69581749	2719.44444444	2592.41004184	2836.81758958	4924.60736196	6105.04040404	6993.95184136	6666.73621461	6010.11555556	4000.40869565	3122.77972028	4932.65072765	3715.98753117	3499.22192513	2929.15789474	3272.86187845	7342.97652582	7493.92546584	8442.40648649	8071.32021277	9343.13011829	7235.61016949
alpha_rarefaction_80226_2.txt	80226	2	2119.078125	2074.96482412	2825.79323308	2589.30952381	2623.08133971	2930.27173913	4809.33333333	5968.5877193	6825.90983607	6838.1889881	6185.52090032	3980.37301587	2934.72093023	5099.39337474	3443.00222222	3498.06683805	2919.28185328	3329.83641975	7250.07904192	7496.15365854	8481.23385301	8162.93456925	9450.57102002	7282.0754717
alpha_rarefaction_80226_3.txt	80226	3	2191.74033149	2104.12562814	2738.78873239	2645.21875	2495.24669604	2959.64285714	4930.89506173	6241.10869565	6921.99152542	6548.35552408	6082.4	3942.75	3120.5631769	4901.86990291	3621.73934837	3560.016	2841.45229682	3390.01796407	7129.89227166	7339.80555556	8404.32741398	8079.22246941	9291.8427907	7101.35574572
alpha_rarefaction_80226_4.txt	80226	4	2087.32038835	1993.0631068	2808.11952191	2593.78714859	2615.55140187	3159.48828125	4909.05081301	6016.94200849	7043.62864721	6484.84782609	6083.20091324	4018.70833333	3059.28617363	4784.55	3683.28009828	3680.90449438	2927.63921569	3330.01197605	7319.34813926	7428.05320435	8123.33612565	8001.13747228	9457.87096774	7226.6997549
alpha_rarefaction_80226_5.txt	80226	5	2090.29901961	2159.03208556	2622.12631579	2727.66519824	2666.32211538	3060.76923077	4815.54110899	6092.86826347	6979.1598878	6508.10683761	6102.80738363	3925.60614525	3028.37942122	4944.28404669	3784.0855615	3480.32352941	3024.64197531	3232.11340206	7221.48812352	7620.7622549	8383.56838565	8360.4812362	9443.43128391	7395.58527132
alpha_rarefaction_80226_6.txt	80226	6	2111.61538462	2130.13397129	2936.064	2563.83966245	2475.0	3036.61176471	4939.67276423	6219.83130699	6745.83660131	6536.44875346	6269.074883	3804.04065041	3035.62080537	4860.9005848	3768.72797927	3574.04972376	2868.84210526	3271.71714286	7161.77853881	7457.88461538	8217.8255814	8009.70769231	9249.93376265	7456.69565217
alpha_rarefaction_80226_7.txt	80226	7	2180.45762712	2056.09375	2808.46058091	2641.43946188	2608.01435407	2999.39015152	4984.64150943	5936.52880355	6746.68236878	6552.22919509	6060.71386431	4087.23495702	3075.28571429	4741.92641509	3644.08148148	3558.80833333	2838.61071429	3328.94602273	7291.8907168	7580.17175573	8389.31573276	8117.63467492	9485.24480578	7366.1302682
alpha_rarefaction_80226_8.txt	80226	8	2065.50239234	2044.14720812	2831.83846154	2660.46511628	2584.04716981	2944.6405694	4712.01771654	6203.4734375	6834.797023	6444.19583333	6190.32721713	4345.12269939	3064.23426573	4749.1934236	4051.74220963	3738.18079096	2824.0490566	3427.7173913	7611.29663212	7433.42525773	8286.91930207	8224.66029724	9254.86910062	7431.9375
