	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
R2_A_D1	0.598433768532	0.615948847039	0.533566643435	0.541763754344	0.574180636725	0.540893087426	0.954910793608	0.97884064019	0.970920077421	0.989932245318	0.984622607983	0.993587028544	0.0	0.469284214171	0.512002203987	0.379127406092	0.597882839974	0.427546917227	0.983929670709	0.981283219139	0.952411676533	0.9557246485	0.973269585609	0.964307570333
R2_A_D2	0.61422471557	0.66099746915	0.57931545792	0.601431526645	0.580097796376	0.553784976834	0.942354403559	0.967116889983	0.955891187225	0.976436995655	0.973817396918	0.985576994269	0.469284214171	0.0	0.480417294631	0.408566627357	0.620886877169	0.455923857491	0.966932249503	0.960135421075	0.8976357714	0.904358652607	0.945468825054	0.919170857353
R2_B_D1	0.439033508265	0.46233525956	0.335084790865	0.442360076065	0.349842428667	0.38470017032	0.939907608903	0.973593317001	0.963650815191	0.984472587596	0.98167748327	0.990952631686	0.512002203987	0.480417294631	0.0	0.427771942355	0.284111408927	0.430642141962	0.973875272954	0.96967994361	0.923433730326	0.928616758431	0.953347659708	0.938008999473
R2_B_D2	0.506254542974	0.520481760476	0.428989459699	0.443496623809	0.46736299497	0.388007300001	0.941901769247	0.969520072865	0.96086282858	0.982748257306	0.978753505079	0.990183125727	0.379127406092	0.408566627357	0.427771942355	0.0	0.572315227967	0.342900855121	0.979091445428	0.970508318643	0.932257627263	0.937060704665	0.959075635274	0.934865128424
R2_C_D1	0.516973503591	0.498039900506	0.412908981944	0.504604209563	0.443712180081	0.52100526783	0.945083626417	0.979681014783	0.970045583788	0.991590083957	0.98635736477	0.994552393845	0.597882839974	0.620886877169	0.284111408927	0.572315227967	0.0	0.497115724835	0.980235259771	0.982342571179	0.953623149611	0.956927909475	0.96582976159	0.96646694187
R2_C_D2	0.549952856087	0.554934148636	0.477249428839	0.532267584232	0.536852883745	0.531195582719	0.933363190764	0.974167830554	0.964072197098	0.987565081634	0.982031267374	0.99184748309	0.427546917227	0.455923857491	0.430642141962	0.342900855121	0.497115724835	0.0	0.979249128535	0.977092700171	0.941216851013	0.9446183281	0.966361431053	0.955522128959
SF2_A_D1	0.988018594903	0.987764020393	0.983736135878	0.986619063658	0.986358199079	0.982997211459	0.770577251387	0.907200639379	0.858375417143	0.893336821675	0.930966735774	0.959858574017	0.983929670709	0.966932249503	0.973875272954	0.979091445428	0.980235259771	0.979249128535	0.0	0.306849850485	0.440195301068	0.422766320767	0.387353229188	0.700156902576
SF2_A_D2	0.986709140954	0.986670479291	0.980834350514	0.984470928133	0.983238715843	0.976557959152	0.780287500939	0.903864924393	0.860607524788	0.840748175466	0.909697172408	0.935043580902	0.981283219139	0.960135421075	0.96967994361	0.970508318643	0.982342571179	0.977092700171	0.306849850485	0.0	0.430239295017	0.416433676244	0.400687568459	0.596665552234
SF2_B_D1	0.947641419765	0.96083312855	0.941780473597	0.95318996802	0.940891623795	0.930002736499	0.811481356566	0.923695817709	0.883176120288	0.859704246898	0.923937511147	0.929914595936	0.952411676533	0.8976357714	0.923433730326	0.932257627263	0.953623149611	0.941216851013	0.440195301068	0.430239295017	0.0	0.0906319469537	0.431881637119	0.483811969444
SF2_B_D2	0.953781701452	0.964139176892	0.946713232929	0.95625219985	0.945403585262	0.93569715434	0.806563083672	0.923428069515	0.880718586086	0.858431779	0.924033362053	0.932259068695	0.9557246485	0.904358652607	0.928616758431	0.937060704665	0.956927909475	0.9446183281	0.422766320767	0.416433676244	0.0906319469537	0.0	0.438685280791	0.492665978888
SF2_C_D1	0.975702501968	0.976829219756	0.968629796824	0.975582657696	0.97125857676	0.964653133325	0.809359295916	0.910009605736	0.869869524794	0.862675764125	0.915017600011	0.931456900113	0.973269585609	0.945468825054	0.953347659708	0.959075635274	0.96582976159	0.966361431053	0.387353229188	0.400687568459	0.431881637119	0.438685280791	0.0	0.629244135534
SF2_C_D2	0.965062689839	0.970724108917	0.953378223883	0.966758002611	0.954912906867	0.937997160285	0.856435437356	0.932371401217	0.90449926617	0.791243281416	0.919122156353	0.911261151465	0.964307570333	0.919170857353	0.938008999473	0.934865128424	0.96646694187	0.955522128959	0.700156902576	0.596665552234	0.483811969444	0.492665978888	0.629244135534	0.0
